id_cliente,edad,ingreso_mensual,ciudad,gasto_anual,cliente_activo
CLI-00001,56.0,7142533.4,Medellín,57055.53,Si
CLI-00002,69.0,4075730.18,Tunja,16594.03,No
CLI-00003,46.0,6434095.3,Medellín,3052355.52,Si
CLI-00004,32.0,5952009.71,Cali,165218.13,Si
CLI-00005,60.0,4186568.77,Bogotá,708229.56,Si
CLI-00006,25.0,,Bogotá,2027181.82,SI
CLI-00007,38.0,4902800.98,Bogotá,2641321.1,No
CLI-00008,56.0,6769513.9,Bogotá,879258.17,Si
CLI-00009,36.0,6594895.34,Tunja,998980.82,No
CLI-00010,40.0,5121971.98,Bogotá,1329246.51,Si
CLI-00011,28.0,5626696.27,Medellín,3904858.76,No
CLI-00012,28.0,5436107.12,Tunja,1107585.61,No
CLI-00013,41.0,2783607.85,Bogotá,983746.4,SI
CLI-00014,70.0,85000000.0,tunja,17568.95,Si
CLI-00015,53.0,6111370.85,Medellín,101297.31,
CLI-00016,57.0,6789279.48,Medellín,1032946.7,0
CLI-00017,41.0,3419040.49,Bogotá,3303162.39,TRUE
CLI-00018,20.0,5293246.95,Medellín,2418105.78,No
CLI-00019,39.0,4726305.32,Tunja,4860089.38,Si
CLI-00020,70.0,4323188.9,Cali,900509.69,Si
CLI-00021,19.0,5034003.94,Tunja,1861011.95,Si
CLI-00022,41.0,4826996.12,Medellín,2202104.01,Si
CLI-00023,61.0,,Bogotá,1253056.85,No
CLI-00024,47.0,6662575.14,Medellín,496347.78,No
CLI-00025,55.0,5676191.39,Bogotá,761805.1,TRUE
CLI-00026,19.0,4965886.89,Bogotá,2341613.27,Si
CLI-00027,38.0,7296937.59,Tunja,425523.24,Si
CLI-00028,50.0,85000000.0,Medellín,3088377.34,No
CLI-00029,29.0,4361402.34,Desconocido,313335.95,Si
CLI-00030,,85000000.0,Cali,1661234.27,Si
CLI-00031,61.0,3018253.98,Tunja,1194917.83,
CLI-00032,42.0,5899848.67,Bogotá,1661632.09,No
CLI-00033,66.0,3554531.28,BOGOTA,690111.84,Si
CLI-00034,44.0,,Bogotá,3237263.62,SI
CLI-00035,59.0,3362872.01,Medellín,1201147.59,No
CLI-00036,45.0,3468923.53,TUNJA,408111.49,No
CLI-00037,33.0,5775971.5,tunja,1220842.75,SI
CLI-00038,32.0,4264886.89,Bogotá,405618.57,Si
CLI-00039,64.0,2441438.1,Bogotá,417143.38,No
CLI-00040,68.0,4546567.35,Bogotá,612188.04,Si
CLI-00041,61.0,4833399.2,Medellín,2296146.56,Si
CLI-00042,72.0,3780994.71,Bogotá,832491.73,TRUE
CLI-00043,69.0,6233827.63,Tunja,1363206.36,No
CLI-00044,74.0,3868591.67,Bogotá,597032.81,No
CLI-00045,20.0,6162506.53,Tunja,367187.06,SI
CLI-00046,54.0,5395174.17,Medellín,3711753.8,1
CLI-00047,68.0,5889908.26,Medellín,1110341.0,SI
CLI-00048,24.0,2852173.74,Bogotá,3260836.22,Si
CLI-00049,38.0,4647465.29,Bogotá,272902.72,Si
CLI-00050,26.0,,TUNJA,190646.0,Si
CLI-00051,,2366990.21,Tunja,2324055.51,Si
CLI-00052,999.0,6157591.09,Cali,1370765.63,Si
CLI-00053,21.0,3273898.65,TUNJA,247807.02,No
CLI-00054,42.0,3585648.26,Bogotá,376600.81,No
CLI-00055,31.0,2980026.25,Medellín,1935315.77,0
CLI-00056,67.0,5551779.49,BOGOTA,725874.85,No
CLI-00057,26.0,2211105.42,Tunja,1332362.24,No
CLI-00058,43.0,5426812.2,Bogotá,459890.3,Si
CLI-00059,70.0,6066770.98,Bogotá,576025.88,Si
CLI-00060,19.0,,Bogotá,5614910.62,Si
CLI-00061,37.0,85000000.0,Cali,341411.87,No
CLI-00062,45.0,5639319.7,TUNJA,847372.83,Si
CLI-00063,64.0,3075863.51,Cali,2232578.07,No
CLI-00064,24.0,6652102.47,Tunja,328098.34,No
CLI-00065,61.0,,Tunja,643810.67,Si
CLI-00066,25.0,4400418.57,Medellín,1145698.9,Si
CLI-00067,64.0,4001044.02,Tunja,787456.79,Si
CLI-00068,52.0,5237313.18,Medellín,738317.8,Si
CLI-00069,999.0,3692944.14,Bogotá,540259.52,No
CLI-00070,34.0,4600373.59,Medellín,1060142.04,No
CLI-00071,53.0,2646984.27,Medellín,1174989.41,No
CLI-00072,67.0,6246997.81,Bogotá,1271118.31,SI
CLI-00073,57.0,5506111.42,Tunja,87559.9,No
CLI-00074,21.0,4061610.36,Bogotá,1196461.51,0
CLI-00075,19.0,3796276.45,Bogotá,3675200.17,Si
CLI-00076,23.0,5466942.37,Medellín,934410.1,No
CLI-00077,71.0,3439059.93,Cali,1507444.4,Si
CLI-00078,59.0,4688047.97,Cali,976297.7,Si
CLI-00079,21.0,6242098.18,Desconocido,2315081.16,Si
CLI-00080,71.0,3283114.32,Bogotá,3183986.29,No
CLI-00081,46.0,5052901.24,Tunja,244332.53,Si
CLI-00082,35.0,4973587.9,Bogotá,689072.49,Si
CLI-00083,43.0,4353994.77,Medellín,597850.86,
CLI-00084,61.0,3744315.62,Bogotá,623466.59,SI
