id_cliente,edad,ingreso_mensual,escolaridad,canal_contacto,score_credito,tasa_interes,monto_prestamo
CLI-000001,44.0,21901987.81,Primaria,Web,632.5,1.23,77701191.55
CLI-000002,36.0,4774766.59,Pregrado,APP,766.0,2.66,15463467.25
CLI-000003,46.0,323240.15,Secundaria,,601.3,2.42,1439715.06
CLI-000004,56.0,20740217.29,Secundaria,Web,600.9,3.41,81635521.51
CLI-000005,35.0,2201094.03,Secundaria,Call Center,662.6,4.3,12592460.72
CLI-000006,35.0,1423122.04,Pregrado,App Movil,555.8,1.48,7941333.28
CLI-000007,57.0,3427922.79,Pregrado,App Movil,730.3,2.28,14368917.62
CLI-000008,47.0,1523960.17,Pregrado,Web,563.5,2.67,5726163.32
CLI-000009,,379786.63,Secundaria,Web,626.9,2.7,1382162.4
CLI-000010,45.0,6003.33,Secundaria,Web,850.0,3.76,20630.28
CLI-000011,32.0,2507734.94,Primaria,Web,558.6,2.66,11048873.23
CLI-000012,32.0,7615303.62,Primaria,web,767.8,1.29,40493806.74
CLI-000013,41.0,3567348.83,Secundaria,Sucursal,659.7,3.54,12798392.35
CLI-000014,15.0,29988270.42,Secundaria,Call Center,671.0,4.12,94922751.43
CLI-000015,17.0,1419846.95,Pregrado,Sucursal,585.3,2.9,5912517.19
CLI-000016,31.0,1382372.46,Primaria,Web,713.9,3.12,3789940.62
CLI-000017,26.0,731031.71,Primaria,APP,620.7,1.74,3621879.44
CLI-000018,42.0,752651.47,Posgrado,Call Center,558.2,1.93,3247129.56
CLI-000019,27.0,1410081.72,Pregrado,App Movil,766.5,1.98,5974955.95
CLI-000020,21.0,6611909.04,Pregrado,Web,619.1,2.62,23482583.92
CLI-000021,56.0,9919881.32,Pregrado,Sucursal,501.2,4.26,56209589.27
CLI-000022,35.0,15507963.81,Secundaria,Sucursal,628.5,2.92,43681313.01
CLI-000023,39.0,,Pregrado,Call Center,714.6,1.83,
CLI-000024,-3.0,8950768.26,Pregrado,Web,,2.08,34178224.04
CLI-000025,31.0,1671081.75,Secundaria,Web,598.7,2.47,9328282.98
CLI-000026,39.0,502868.28,Secundaria,App Movil,571.8,3.26,2539819.27
CLI-000027,24.0,8569732.84,Secundaria,Sucursal,540.7,2.65,24548835.64
CLI-000028,43.0,4245744.97,Secundaria,Web,648.2,2.5,22971080.95
CLI-000029,31.0,756005.57,Secundaria,App Movil,662.1,3.06,3695067.13
CLI-000030,34.0,2359656.27,Secundaria,App Movil,706.7,2.0,6165915.61
CLI-000031,31.0,1422268.46,Primaria,Sucursal,638.1,1.46,4221235.03
CLI-000032,60.0,5606245.87,Primaria,App Movil,635.7,1.28,26487819.75
CLI-000033,38.0,,Primaria,App Movil,627.7,2.03,
CLI-000034,,19049683.81,Primaria,Call Center,662.2,1.5,97406367.52
CLI-000035,48.0,236462.22,Secundaria,APP,639.3,2.31,1187243.44
CLI-000036,23.0,1841820.25,Pregrado,Web,725.1,3.75,8856060.85
CLI-000037,41.0,2761866.78,Secundaria,Web,674.9,3.56,14311541.14
CLI-000038,14.0,2937622.85,Posgrado,web,658.6,3.22,13256904.31
CLI-000039,22.0,1594754.86,Pregrado,App Movil,646.7,4.01,5442531.3
CLI-000040,40.0,5487398.19,Pregrado,Sucursal,574.7,2.13,31241503.7
CLI-000041,,8725164.73,Pregrado,Sucursal,649.9,4.12,22369133.3
CLI-000042,40.0,11727619.52,Secundaria,Web,598.3,2.52,44365186.13
CLI-000043,37.0,6867985.7,Primaria,Sucursal,677.7,2.52,34690511.88
CLI-000044,34.0,7984180.96,Posgrado,Sucursal,633.3,2.54,31897171.36
CLI-000045,20.0,3358824.88,Primaria,App Movil,783.1,1.52,8689012.69
CLI-000046,29.0,7341842.8,Posgrado,Web,549.0,4.42,20050081.96
CLI-000047,32.0,1519111.01,Pregrado,,402.0,1.66,7246510.12
CLI-000048,51.0,2134832.43,Secundaria,App Movil,671.4,2.32,12546465.91
CLI-000049,42.0,1600758.89,Secundaria,Sucursal,598.5,2.25,7093799.4
CLI-000050,17.0,2645835.47,Pregrado,Call Center,662.9,1.45,11307381.01
CLI-000051,42.0,1412391.61,Primaria,App Movil,551.1,1.7,5104578.54
CLI-000052,33.0,13691982.52,Secundaria,Sucursal,802.7,1.35,46531071.07
CLI-000053,30.0,1575818.38,Pregrado,APP,619.1,2.16,4055285.77
CLI-000054,45.0,,Pregrado,App Movil,593.4,4.06,
CLI-000055,50.0,3142748.38,Secundaria,App Movil,801.2,2.32,12796914.84
CLI-000056,49.0,246935.09,Secundaria,web,717.2,1.61,788420.34
CLI-000057,28.0,492006.07,Posgrado,Web,761.2,3.33,1380430.27
CLI-000058,34.0,1040251.09,Pregrado,Web,636.2,4.49,5213787.91
CLI-000059,42.0,2621954.09,Pregrado,web,653.8,1.97,14764671.68
CLI-000060,50.0,2384922.27,,Call Center,602.3,2.12,13781755.67
CLI-000061,32.0,6753173.31,Secundaria,APP,592.9,4.41,31490017.09
CLI-000062,36.0,5649231.52,Secundaria,Web,,1.79,15166554.22
CLI-000063,25.0,2333858.33,Pregrado,Web,620.5,2.89,11886385.3
CLI-000064,24.0,1705290.61,Pregrado,Web,827.7,1.99,4920332.24
CLI-000065,48.0,1598028.4,Secundaria,Sucursal,,4.28,7741038.8
CLI-000066,54.0,6246233.88,Secundaria,Sucursal,800.7,4.44,32653939.21
CLI-000067,37.0,224604.06,Pregrado,App Movil,471.7,3.89,1132122.71
CLI-000068,50.0,54199.14,Secundaria,Web,801.6,2.24,316067.34
CLI-000069,42.0,6667098.49,Posgrado,Sucursal,459.2,2.53,33892275.15
CLI-000070,30.0,2723505.67,Primaria,App Movil,549.1,2.0,13416626.84
CLI-000071,42.0,589156.61,Secundaria,Web,509.8,4.14,2012618.55
CLI-000072,56.0,1128201.91,Primaria,web,669.4,4.22,6472145.07
CLI-000073,38.0,11321882.24,Pregrado,Web,648.5,2.58,35419416.57
CLI-000074,57.0,8242789.67,Posgrado,Sucursal,713.6,3.37,46713027.72
CLI-000075,7.0,5195960.38,Pregrado,Call Center,642.9,1.75,18675938.61
CLI-000076,48.0,2764502.74,Posgrado,App Movil,748.0,2.64,8170688.49
CLI-000077,39.0,3085503.22,Primaria,Web,575.4,3.28,16641324.05
CLI-000078,34.0,15534577.87,Primaria,App Movil,749.9,2.47,38972125.04
