id_cliente,edad,ingreso_mensual,antiguedad_laboral_meses,score_credito,ratio_deuda_ingreso,riesgo_default
CLI-00001,59,2369054.09,151,596,0.641,1
CLI-00002,49,5130004.76,169,396,0.207,0
CLI-00003,35,2761600.97,104,595,0.217,0
CLI-00004,63,3903835.82,178,476,0.409,1
CLI-00005,28,4201258.41,124,496,0.592,1
CLI-00006,41,4484860.77,78,467,0.081,1
CLI-00007,59,2980380.82,127,748,0.535,1
CLI-00008,39,4468715.81,35,731,0.504,0
CLI-00009,43,2791421.33,113,761,0.212,0
CLI-00010,31,5413704.84,103,501,0.527,0
CLI-00011,31,3993280.76,37,421,0.708,1
CLI-00012,44,4479065.92,161,712,0.083,0
CLI-00013,56,8825868.31,177,486,0.274,0
CLI-00014,60,2207211.98,84,524,0.357,1
CLI-00015,44,6699448.08,46,638,0.679,1
CLI-00016,23,1300000.0,68,795,0.724,1
CLI-00017,42,1300000.0,28,830,0.361,0
CLI-00018,22,1966847.86,109,368,0.575,1
CLI-00019,44,2080448.94,80,544,0.422,1
CLI-00020,64,4566663.24,53,679,0.426,1
CLI-00021,50,4721716.08,165,773,0.245,0
CLI-00022,58,3741321.72,62,524,0.202,1
CLI-00023,22,3930219.66,123,839,0.252,0
CLI-00024,41,5149976.57,105,798,0.439,0
CLI-00025,53,5699802.98,129,762,0.07,0
CLI-00026,32,1812229.77,166,783,0.685,0
CLI-00027,42,3548596.25,157,703,0.159,0
CLI-00028,64,4074738.32,172,848,0.204,0
CLI-00029,45,5073568.79,39,490,0.413,0
CLI-00030,47,2809199.14,161,595,0.547,1
CLI-00031,62,4039401.88,170,734,0.117,0
CLI-00032,48,4253970.54,12,767,0.272,0
CLI-00033,36,2931953.81,170,442,0.728,1
CLI-00034,35,2889032.73,61,781,0.234,0
CLI-00035,67,4377742.4,70,588,0.269,0
CLI-00036,64,3965378.74,52,554,0.636,0
CLI-00037,23,5100859.53,153,397,0.085,1
CLI-00038,57,2304134.3,24,782,0.375,1
CLI-00039,27,3568773.25,162,594,0.316,0
CLI-00040,41,3787411.11,151,669,0.272,0
CLI-00041,29,5664955.03,168,666,0.25,1
CLI-00042,59,2507255.21,176,762,0.114,0
CLI-00043,38,4622373.61,131,644,0.27,1
CLI-00044,24,4654959.91,144,477,0.08,0
CLI-00045,45,7163515.04,54,693,0.597,1
CLI-00046,34,2387239.14,118,631,0.329,0
CLI-00047,29,3016980.03,43,366,0.361,1
CLI-00048,46,2512759.77,69,420,0.676,1
CLI-00049,22,1300000.0,74,618,0.511,1
CLI-00050,40,7376436.48,141,674,0.056,0
CLI-00051,48,1965297.78,167,631,0.71,0
CLI-00052,67,2730650.26,121,654,0.216,0
CLI-00053,27,6568379.71,70,800,0.125,0
CLI-00054,64,1300000.0,36,356,0.588,1
CLI-00055,28,5561432.82,137,663,0.4,0
CLI-00056,67,1656556.18,118,654,0.354,0
CLI-00057,55,6444050.53,114,452,0.225,1
CLI-00058,34,1300000.0,74,658,0.433,1
CLI-00059,37,1300000.0,163,542,0.242,1
CLI-00060,56,3219139.98,125,590,0.681,1
CLI-00061,60,5949280.84,93,411,0.201,1
CLI-00062,24,4144275.15,72,366,0.669,1
CLI-00063,22,3595712.87,80,520,0.442,1
CLI-00064,26,6622879.57,50,374,0.63,1
CLI-00065,62,8079431.17,9,600,0.549,1
CLI-00066,24,5410063.11,159,602,0.538,1
CLI-00067,49,3078861.89,160,736,0.277,1
CLI-00068,38,3447342.54,179,556,0.214,0
CLI-00069,46,1880794.72,112,378,0.198,1
CLI-00070,64,4381471.36,56,466,0.65,0
CLI-00071,54,1300000.0,55,840,0.624,0
CLI-00072,30,5193354.58,11,765,0.358,0
CLI-00073,56,7810033.28,64,631,0.143,1
CLI-00074,34,5491664.84,130,729,0.318,0
