id_inmueble,area_m2,habitaciones,estrato,antiguedad_anios,distancia_centro_km,precio_millones
INM-00001,88.6,4,4,14,1.87,435.53
INM-00002,58.9,2,2,21,0.89,124.1
INM-00003,75.3,2,5,31,3.96,446.68
INM-00004,102.8,3,4,32,4.92,401.39
INM-00005,62.3,3,6,22,5.61,537.24
INM-00006,74.8,2,3,1,9.62,229.81
INM-00007,72.1,2,6,1,2.09,758.53
INM-00008,81.9,2,3,28,0.35,230.11
INM-00009,92.3,4,2,2,14.3,183.21
INM-00010,102.6,5,4,6,2.57,516.97
INM-00011,143.1,6,4,28,4.39,589.63
INM-00012,35.0,1,4,22,4.94,146.51
INM-00013,80.0,2,3,15,3.56,229.8
INM-00014,44.1,1,2,30,1.03,76.21
INM-00015,73.4,4,4,33,6.33,284.16
INM-00016,111.4,4,3,0,7.33,351.81
INM-00017,120.9,5,4,17,3.62,506.88
INM-00018,122.3,4,3,14,3.02,347.92
INM-00019,122.1,3,6,16,0.54,1188.78
INM-00020,79.8,2,4,9,0.39,407.36
INM-00021,127.0,4,4,19,1.87,584.51
INM-00022,132.9,4,6,5,1.68,1343.15
INM-00023,89.2,3,4,7,13.82,342.17
INM-00024,120.3,4,2,33,6.89,192.84
INM-00025,86.2,4,2,31,4.85,138.39
INM-00026,127.3,4,4,3,3.28,649.06
INM-00027,80.2,2,3,19,0.82,224.51
INM-00028,66.7,2,4,23,17.27,220.13
INM-00029,51.4,1,3,23,2.12,146.23
INM-00030,79.8,3,3,25,0.51,229.64
INM-00031,87.5,3,3,24,3.06,259.7
INM-00032,56.6,3,6,6,9.32,453.04
INM-00033,77.5,3,4,9,9.82,336.07
INM-00034,69.2,4,6,11,0.05,622.12
INM-00035,52.7,1,6,0,9.78,437.28
INM-00036,116.1,2,3,24,1.43,327.12
INM-00037,121.4,4,3,15,0.18,352.75
INM-00038,115.9,4,4,4,8.47,535.04
INM-00039,82.5,3,5,18,8.97,470.24
INM-00040,84.3,3,3,3,4.08,250.74
INM-00041,53.1,1,6,5,3.84,469.77
INM-00042,97.4,4,2,25,7.55,174.09
INM-00043,90.1,4,3,8,6.94,279.76
INM-00044,170.3,5,4,13,9.94,678.14
INM-00045,117.6,4,3,8,3.62,370.66
INM-00046,94.5,3,2,14,15.44,164.74
INM-00047,83.8,2,3,19,25.0,161.74
INM-00048,115.0,3,2,7,0.56,248.81
INM-00049,57.5,2,4,31,8.52,207.89
INM-00050,119.2,4,5,20,3.12,747.9
INM-00051,52.4,1,5,18,2.21,344.53
INM-00052,68.2,2,4,28,4.27,272.03
INM-00053,35.0,1,3,30,0.26,103.63
INM-00054,103.4,3,3,5,3.18,316.47
INM-00055,92.5,3,2,3,9.21,200.83
INM-00056,68.2,2,3,28,1.08,189.96
INM-00057,57.1,3,2,2,2.5,133.63
INM-00058,126.4,4,5,0,12.62,719.29
INM-00059,81.0,4,5,14,2.52,517.18
INM-00060,62.0,3,3,20,2.0,188.82
INM-00061,142.7,6,4,30,2.61,581.91
INM-00062,65.3,3,2,6,3.3,132.21
INM-00063,119.2,4,4,16,4.5,517.09
INM-00064,50.5,1,4,18,7.26,191.05
INM-00065,74.4,2,3,2,2.71,265.86
INM-00066,100.1,4,3,29,7.65,262.9
INM-00067,83.3,3,5,34,3.43,416.96
INM-00068,92.3,4,4,28,1.86,396.65
INM-00069,68.8,2,5,13,4.83,464.26
INM-00070,37.1,1,5,34,5.69,189.39
INM-00071,129.0,5,6,27,3.67,1074.48
INM-00072,70.7,3,2,29,0.26,133.46
INM-00073,93.7,3,2,25,0.84,187.74
INM-00074,106.1,3,3,6,1.51,338.81
INM-00075,94.3,3,2,30,1.49,169.83
INM-00076,63.7,2,3,4,5.04,197.9
INM-00077,119.8,4,4,34,0.08,447.24
INM-00078,100.4,4,4,13,6.34,452.19
INM-00079,91.0,2,3,26,1.39,248.93
INM-00080,90.3,2,5,23,1.67,545.13
INM-00081,135.5,5,2,28,3.38,263.85
INM-00082,63.1,1,3,21,1.09,185.2
INM-00083,97.5,3,4,7,9.71,414.85
INM-00084,69.1,1,4,14,0.4,345.69
INM-00085,35.0,1,3,4,2.64,121.43
INM-00086,35.0,1,2,3,8.52,67.93
INM-00087,54.6,1,4,10,4.31,245.92
INM-00088,65.2,2,2,17,1.56,144.79
INM-00089,150.2,6,2,29,2.46,271.05
INM-00090,106.0,3,4,14,5.52,446.65
INM-00091,108.7,3,3,5,16.3,263.84
INM-00092,65.9,3,3,15,10.06,164.46
INM-00093,86.8,2,3,8,1.89,289.37
INM-00094,154.2,6,6,33,25.0,811.8
INM-00095,48.6,1,6,26,0.02,448.62
INM-00096,98.7,3,3,12,0.13,329.63
INM-00097,133.3,5,3,26,7.81,323.09
INM-00098,114.0,3,3,8,1.0,343.71
INM-00099,139.0,5,3,4,0.28,507.47
INM-00100,91.4,4,3,21,1.22,261.04
INM-00101,103.1,3,4,30,2.5,395.39
INM-00102,88.3,2,3,2,5.9,295.8
INM-00103,101.0,3,3,29,4.41,266.68
INM-00104,57.5,2,3,20,1.22,162.16
INM-00105,108.8,3,3,34,3.15,293.67
INM-00106,93.8,3,3,5,11.73,281.67
INM-00107,86.9,1,3,27,7.59,204.13
INM-00108,137.4,4,4,31,1.76,576.24
INM-00109,77.0,3,4,24,18.14,238.24
INM-00110,121.2,3,3,31,5.55,305.67
INM-00111,124.2,4,4,34,0.29,522.51
INM-00112,110.7,5,3,21,0.16,354.67
INM-00113,56.0,2,2,23,0.83,107.12
INM-00114,95.8,4,4,29,5.86,345.5
INM-00115,143.8,4,3,31,0.91,362.62
INM-00116,35.0,1,4,30,3.22,138.19
INM-00117,79.4,2,4,22,0.44,319.99
INM-00118,119.9,4,5,32,11.42,570.13
INM-00119,81.5,3,6,24,1.9,644.48
INM-00120,109.3,4,2,23,10.74,181.83
INM-00121,127.3,4,6,30,13.04,786.88
INM-00122,92.0,3,4,12,0.03,461.51
INM-00123,100.3,4,4,9,2.81,446.36
INM-00124,87.8,3,2,22,0.11,173.09
INM-00125,93.9,3,5,17,10.77,551.01
INM-00126,148.1,6,2,31,3.29,275.0
INM-00127,83.1,4,5,32,0.35,459.48
INM-00128,74.4,2,2,27,0.53,133.82
INM-00129,116.3,4,4,15,2.18,541.63
INM-00130,59.7,1,3,15,12.68,148.79
INM-00131,66.6,2,3,17,5.31,197.05
INM-00132,66.7,2,2,7,9.1,130.31
INM-00133,77.3,3,3,15,2.05,228.91
INM-00134,78.6,3,2,10,0.2,173.54
