id_cliente,edad,ingreso_anual_k_usd,puntuacion_gasto,visitas_mensuales
CLUST-00001,26,127,78,6
CLUST-00002,57,98,65,2
CLUST-00003,52,22,14,3
CLUST-00004,43,81,5,7
CLUST-00005,22,63,95,1
CLUST-00006,30,110,95,2
CLUST-00007,62,137,94,5
CLUST-00008,47,122,62,2
CLUST-00009,57,135,1,6
CLUST-00010,67,135,63,5
CLUST-00011,56,103,67,1
CLUST-00012,27,103,20,6
CLUST-00013,59,128,43,4
CLUST-00014,40,28,85,6
CLUST-00015,28,76,94,3
CLUST-00016,29,57,42,5
CLUST-00017,30,41,94,1
CLUST-00018,57,126,69,5
CLUST-00019,66,110,74,4
CLUST-00020,63,41,88,4
CLUST-00021,66,82,39,2
CLUST-00022,68,128,62,4
CLUST-00023,33,117,48,5
CLUST-00024,26,89,6,5
CLUST-00025,69,126,74,3
CLUST-00026,27,62,42,2
CLUST-00027,46,81,58,5
CLUST-00028,26,39,43,4
CLUST-00029,50,78,10,2
CLUST-00030,41,133,89,5
CLUST-00031,52,38,78,4
CLUST-00032,28,23,39,2
CLUST-00033,56,22,13,3
CLUST-00034,67,117,75,6
CLUST-00035,30,109,39,4
CLUST-00036,40,135,11,4
CLUST-00037,42,73,16,4
CLUST-00038,67,31,33,3
CLUST-00039,33,57,60,3
CLUST-00040,65,109,96,4
CLUST-00041,38,82,59,2
CLUST-00042,27,18,74,4
CLUST-00043,58,115,51,5
CLUST-00044,57,22,15,5
CLUST-00045,36,56,80,5
CLUST-00046,52,63,43,7
CLUST-00047,45,20,27,4
CLUST-00048,58,87,56,2
CLUST-00049,19,56,60,4
CLUST-00050,68,86,96,4
CLUST-00051,47,46,70,3
CLUST-00052,57,29,47,5
CLUST-00053,67,96,8,3
CLUST-00054,57,101,63,5
CLUST-00055,22,83,89,6
CLUST-00056,55,128,7,0
CLUST-00057,59,41,81,3
CLUST-00058,32,111,94,5
CLUST-00059,53,80,2,6
CLUST-00060,20,137,17,4
CLUST-00061,41,120,4,4
CLUST-00062,58,116,26,5
CLUST-00063,65,73,78,3
CLUST-00064,65,42,72,2
CLUST-00065,64,38,69,1
CLUST-00066,58,65,5,5
CLUST-00067,66,35,5,3
