id_transaccion,items
TRX-000001,"Cerveza,Chocolate,Pan,Pasta,Pañales"
TRX-000002,"Manzanas,Vino"
TRX-000003,"Cerveza,Chocolate,Manzanas,Pañales,Vino"
TRX-000004,"Cafe,Leche,Pan"
TRX-000005,"Cerveza,Leche,Pañales,Queso"
TRX-000006,"Cafe,Cerveza,Leche,Pañales,Vino"
TRX-000007,"Chocolate,Manzanas,Pasta"
TRX-000008,"Chocolate,Vino"
TRX-000009,Pañales
TRX-000010,"Arroz,Cerveza,Manzanas"
TRX-000011,"Cafe,Leche,Pan"
TRX-000012,"Cerveza,Pañales"
TRX-000013,"Cafe,Leche,Pan"
TRX-000014,"Cafe,Leche,Pan"
TRX-000015,"Arroz,Huevos,Leche,Pan,Vino"
TRX-000016,"Cafe,Leche,Pan"
TRX-000017,"Cerveza,Pañales"
TRX-000018,"Cafe,Leche,Pan,Pañales"
TRX-000019,"Cerveza,Pañales"
TRX-000020,"Cafe,Leche,Pan"
TRX-000021,"Cafe,Leche,Pan,Vino"
TRX-000022,"Huevos,Queso,Vino"
TRX-000023,"Arroz,Chocolate,Huevos,Leche,Pan"
TRX-000024,"Cafe,Leche,Pan"
TRX-000025,"Cafe,Pasta,Vino"
TRX-000026,"Chocolate,Leche,Pasta,Vino"
TRX-000027,"Cafe,Cerveza,Manzanas,Pañales"
TRX-000028,"Arroz,Cafe,Cerveza,Huevos,Pasta"
TRX-000029,"Cafe,Leche,Pan"
TRX-000030,"Chocolate,Vino"
TRX-000031,"Cafe,Manzanas,Pan,Pasta,Queso"
TRX-000032,"Cafe,Leche,Pan"
TRX-000033,"Cafe,Huevos,Manzanas,Pan,Pasta"
TRX-000034,"Cerveza,Manzanas,Pasta,Pañales"
TRX-000035,"Cafe,Leche,Pan"
TRX-000036,"Cerveza,Pañales"
TRX-000037,"Cerveza,Pañales"
TRX-000038,"Chocolate,Huevos,Leche,Pasta,Queso"
TRX-000039,"Cerveza,Leche,Manzanas,Pan"
TRX-000040,Chocolate
TRX-000041,"Cerveza,Leche,Vino"
TRX-000042,"Cafe,Leche,Pan"
TRX-000043,"Cafe,Manzanas,Pañales,Queso"
TRX-000044,"Cafe,Leche,Pan"
TRX-000045,"Chocolate,Leche,Manzanas,Pasta"
TRX-000046,"Cafe,Leche,Pan,Pañales,Vino"
TRX-000047,"Cafe,Cerveza,Manzanas,Queso"
TRX-000048,"Cerveza,Leche,Pan,Pañales,Vino"
TRX-000049,"Cerveza,Pañales"
TRX-000050,"Arroz,Cafe,Leche,Pan,Pañales"
TRX-000051,Pasta
TRX-000052,"Arroz,Cerveza,Leche,Pañales"
TRX-000053,"Arroz,Cerveza,Pan,Pasta,Queso"
TRX-000054,"Cerveza,Queso"
TRX-000055,"Chocolate,Huevos"
TRX-000056,"Cafe,Leche,Pan"
TRX-000057,"Cerveza,Manzanas,Pañales"
TRX-000058,"Cerveza,Huevos,Manzanas"
TRX-000059,Cafe
TRX-000060,"Cafe,Leche,Pan"
TRX-000061,"Cafe,Leche,Pan"
TRX-000062,"Cafe,Leche,Pan"
TRX-000063,"Cerveza,Pañales"
TRX-000064,"Arroz,Cerveza,Pasta"
TRX-000065,"Cafe,Leche,Pan"
TRX-000066,"Arroz,Cerveza,Manzanas,Queso"
TRX-000067,"Cafe,Leche,Pan"
TRX-000068,"Cafe,Leche,Pan"
TRX-000069,"Arroz,Chocolate,Leche,Pan,Vino"
TRX-000070,Chocolate
TRX-000071,"Arroz,Cafe,Huevos,Manzanas,Vino"
TRX-000072,"Cafe,Cerveza,Chocolate,Leche,Pan"
TRX-000073,Manzanas
TRX-000074,"Cerveza,Pañales"
TRX-000075,"Cerveza,Pan,Pañales"
TRX-000076,"Cafe,Leche,Pan"
TRX-000077,"Huevos,Manzanas,Pan,Pasta,Pañales"
TRX-000078,"Cafe,Leche,Pan"
TRX-000079,"Cerveza,Pañales,Queso"
TRX-000080,Vino
TRX-000081,"Cerveza,Chocolate,Leche,Manzanas,Pasta"
TRX-000082,"Cafe,Cerveza,Leche,Pan"
TRX-000083,"Arroz,Cafe,Leche,Pan"
TRX-000084,"Cafe,Chocolate,Huevos,Leche,Pan"
TRX-000085,"Cerveza,Leche,Vino"
TRX-000086,Pasta
TRX-000087,"Cafe,Leche,Pan"
TRX-000088,Arroz
TRX-000089,"Cafe,Leche,Pan"
TRX-000090,"Cerveza,Leche,Pañales"
TRX-000091,"Cerveza,Pañales,Queso"
TRX-000092,Huevos
TRX-000093,"Cafe,Leche,Pan"
TRX-000094,Arroz
TRX-000095,"Cafe,Leche,Pan"
TRX-000096,"Leche,Manzanas,Pan,Vino"
TRX-000097,"Cafe,Leche,Pan"
TRX-000098,"Arroz,Leche,Manzanas,Pan,Pasta"
TRX-000099,"Cafe,Leche,Pan"
TRX-000100,Huevos
TRX-000101,"Arroz,Cerveza,Huevos,Leche,Pañales"
TRX-000102,"Cerveza,Pañales"
TRX-000103,"Cerveza,Pañales"
TRX-000104,"Arroz,Cafe,Cerveza"
TRX-000105,"Arroz,Chocolate,Pañales,Queso,Vino"
TRX-000106,"Arroz,Vino"
TRX-000107,"Cerveza,Leche,Pan,Queso,Vino"
TRX-000108,"Cafe,Leche,Pan"
TRX-000109,"Arroz,Cafe,Leche,Pan"
TRX-000110,"Cafe,Chocolate,Pasta,Pañales,Vino"
TRX-000111,"Cerveza,Pañales"
TRX-000112,"Arroz,Huevos,Leche,Queso,Vino"
TRX-000113,"Arroz,Cerveza,Pañales"
TRX-000114,"Cafe,Leche,Pan"
TRX-000115,"Cerveza,Huevos,Pañales,Vino"
TRX-000116,"Cerveza,Pan"
TRX-000117,"Cafe,Leche,Pan"
TRX-000118,"Cafe,Pan,Pasta,Pañales"
TRX-000119,"Huevos,Leche,Pan,Pasta,Queso"
TRX-000120,"Arroz,Huevos,Pasta"
TRX-000121,"Pasta,Queso"
TRX-000122,"Cafe,Chocolate,Huevos,Manzanas"
TRX-000123,"Huevos,Manzanas,Pan,Pañales,Vino"
TRX-000124,"Cerveza,Chocolate,Manzanas"
TRX-000125,"Cafe,Leche,Pan"
TRX-000126,"Cerveza,Pasta,Queso"
TRX-000127,"Cafe,Leche,Pan,Pasta,Queso"
TRX-000128,Pan
TRX-000129,"Cafe,Cerveza,Huevos,Pañales"
TRX-000130,"Cafe,Cerveza,Leche,Pañales"
TRX-000131,"Chocolate,Manzanas"
TRX-000132,"Arroz,Cafe,Chocolate,Pan,Pañales"
TRX-000133,"Cerveza,Pañales"
TRX-000134,"Huevos,Queso"
TRX-000135,Cafe
TRX-000136,"Manzanas,Pan"
