antiguedad_meses,cargo_mensual,cargos_totales,soporte_tecnico,tipo_contrato,factura_electronica,churn
35,113.2,4200.88,Si,Un_Ano,No,0
40,117.14,4500.35,Sin_Internet,Un_Ano,Si,0
59,108.06,6183.8,Sin_Internet,Un_Ano,No,0
1,62.01,63.93,No,Mes_a_Mes,Si,0
44,111.06,4773.09,Si,Dos_Anos,Si,0
58,86.15,4513.49,Si,Mes_a_Mes,Si,0
54,31.02,1838.96,No,Dos_Anos,Si,0
9,41.23,351.67,No,Un_Ano,No,0
25,61.58,1460.79,No,Mes_a_Mes,No,1
38,54.09,1904.94,Si,Dos_Anos,Si,0
25,56.92,1325.66,No,Dos_Anos,Si,0
7,94.82,664.0,No,Dos_Anos,Si,1
46,30.59,1530.9,Si,Dos_Anos,No,0
35,82.55,3003.2,No,Mes_a_Mes,Si,0
61,56.98,3585.32,Si,Dos_Anos,No,0
1,108.83,105.82,No,Un_Ano,Si,0
20,30.43,646.71,Si,Mes_a_Mes,No,1
58,117.31,6767.72,No,Mes_a_Mes,Si,0
65,32.69,2106.8,Si,Un_Ano,Si,0
37,66.27,2694.5,Si,Dos_Anos,Si,0
24,106.42,2609.73,Sin_Internet,Un_Ano,No,1
5,55.58,298.36,No,Mes_a_Mes,No,0
11,105.76,1169.08,Sin_Internet,Mes_a_Mes,Si,1
35,116.5,3801.64,Si,Un_Ano,Si,0
29,36.66,1166.75,No,Mes_a_Mes,No,0
23,70.34,1668.19,Si,Mes_a_Mes,No,0
24,46.93,1047.18,No,Un_Ano,Si,0
65,97.87,6666.97,Sin_Internet,Un_Ano,No,0
44,35.26,1532.56,Si,Mes_a_Mes,No,0
26,98.6,2728.9,No,Mes_a_Mes,No,0
56,89.16,4770.35,Si,Mes_a_Mes,Si,0
20,84.98,1849.95,No,Mes_a_Mes,Si,1
66,66.26,4195.82,Si,Un_Ano,No,0
33,72.65,2635.89,No,Mes_a_Mes,No,0
47,34.54,1688.37,Sin_Internet,Un_Ano,No,1
45,50.64,2493.59,No,Mes_a_Mes,Si,0
45,111.77,5255.14,Si,Mes_a_Mes,Si,1
70,66.99,4927.67,Si,Un_Ano,No,0
12,63.27,701.75,Si,Mes_a_Mes,Si,0
56,29.5,1491.76,No,Un_Ano,No,0
67,109.01,6699.51,Si,Mes_a_Mes,Si,0
22,96.57,2097.89,Si,Un_Ano,Si,0
38,33.71,1255.89,Si,Un_Ano,No,0
43,39.27,1581.84,Si,Un_Ano,Si,0
6,36.75,200.37,No,Un_Ano,Si,0
11,87.05,994.34,No,Mes_a_Mes,No,1
17,40.1,640.51,Si,Dos_Anos,Si,0
13,119.53,1702.62,No,Mes_a_Mes,Si,0
48,79.5,3513.35,Si,Mes_a_Mes,Si,0
38,107.66,3979.44,No,Dos_Anos,Si,1
38,94.36,3570.57,Si,Un_Ano,Si,0
49,27.33,1263.77,Sin_Internet,Un_Ano,Si,0
65,65.01,4228.47,Si,Un_Ano,Si,0
50,59.35,2744.63,Si,Mes_a_Mes,Si,0
13,115.46,1351.37,No,Dos_Anos,Si,0
3,57.14,178.22,Sin_Internet,Mes_a_Mes,Si,1
28,90.31,2697.87,No,Mes_a_Mes,Si,0
70,81.0,5754.7,Si,Mes_a_Mes,No,1
46,94.98,4131.84,No,Mes_a_Mes,Si,0
46,30.82,1387.82,No,Un_Ano,Si,0
9,113.42,1046.56,Si,Mes_a_Mes,No,0
62,119.34,6707.34,No,Dos_Anos,No,0
45,77.66,3211.09,No,Mes_a_Mes,Si,0
33,40.61,1462.94,No,Mes_a_Mes,Si,0
4,107.6,445.77,Si,Mes_a_Mes,Si,1
13,86.5,1168.8,Sin_Internet,Mes_a_Mes,Si,0
52,84.27,4033.67,Sin_Internet,Dos_Anos,Si,0
38,109.07,3923.29,Si,Mes_a_Mes,Si,1
65,94.49,6008.14,No,Mes_a_Mes,No,0
46,112.38,4864.72,No,Mes_a_Mes,Si,1
1,115.97,123.15,Si,Mes_a_Mes,Si,0
32,57.76,1887.67,No,Dos_Anos,No,0
49,43.8,2016.07,No,Un_Ano,No,0
19,61.62,1234.21,No,Mes_a_Mes,Si,1
52,116.91,6128.83,No,Mes_a_Mes,Si,0
39,43.18,1585.62,No,Mes_a_Mes,Si,1
62,81.16,5376.96,No,Un_Ano,Si,1
41,33.0,1274.52,No,Mes_a_Mes,Si,0
20,104.09,2161.17,Sin_Internet,Dos_Anos,Si,1
22,88.48,1907.59,No,Un_Ano,No,0
31,74.6,2427.98,Sin_Internet,Dos_Anos,No,0
56,84.85,4678.86,Sin_Internet,Dos_Anos,Si,1
19,36.12,656.99,No,Mes_a_Mes,Si,0
66,106.84,7701.59,No,Un_Ano,Si,0
66,57.31,3978.18,No,Mes_a_Mes,Si,1
38,41.07,1662.93,No,Mes_a_Mes,No,0
39,26.41,991.45,Si,Mes_a_Mes,No,0
28,30.77,835.36,Sin_Internet,Mes_a_Mes,No,0
11,88.81,912.98,Si,Un_Ano,No,0
21,93.25,1937.39,No,Mes_a_Mes,Si,1
29,39.14,1247.88,Si,Un_Ano,Si,0
42,82.54,3528.72,Si,Mes_a_Mes,No,0
12,70.89,888.83,Si,Un_Ano,Si,0
2,114.03,238.89,No,Mes_a_Mes,Si,1
40,88.19,3317.92,Si,Un_Ano,Si,0
63,74.43,4272.72,Si,Dos_Anos,No,0
33,51.96,1584.91,Sin_Internet,Mes_a_Mes,Si,0
46,68.87,3307.22,No,Mes_a_Mes,No,0
10,48.47,480.41,No,Dos_Anos,Si,1
11,89.45,1063.59,Sin_Internet,Mes_a_Mes,Si,1
16,81.44,1268.25,No,Mes_a_Mes,Si,1
8,53.15,391.41,No,Un_Ano,Si,0
47,26.15,1344.2,Sin_Internet,Mes_a_Mes,Si,0
46,118.36,5336.44,No,Un_Ano,No,0
4,30.03,128.49,No,Mes_a_Mes,Si,1
44,76.97,3079.2,Si,Un_Ano,Si,0
17,105.94,1750.32,Si,Un_Ano,Si,0
5,84.0,427.93,Si,Un_Ano,Si,0
53,80.76,4300.91,No,Mes_a_Mes,No,1
5,92.93,485.81,Si,Mes_a_Mes,Si,1
35,54.27,2044.96,Si,Dos_Anos,Si,0
23,62.02,1500.24,No,Mes_a_Mes,No,0
22,33.03,699.06,Si,Un_Ano,Si,1
59,25.45,1642.5,Si,Un_Ano,Si,0
66,50.13,3585.88,No,Un_Ano,No,0
36,102.35,3780.43,Si,Mes_a_Mes,Si,0
67,83.1,5578.81,Si,Mes_a_Mes,Si,0
28,38.24,1074.24,No,Mes_a_Mes,No,1
23,65.51,1577.61,No,Mes_a_Mes,No,1
13,26.86,348.02,Si,Mes_a_Mes,Si,0
69,101.21,7662.93,Sin_Internet,Mes_a_Mes,Si,0
30,68.8,2150.89,No,Dos_Anos,Si,0
56,51.3,2722.36,No,Dos_Anos,Si,0
60,97.97,6064.51,No,Mes_a_Mes,Si,0
21,117.18,2453.12,Si,Dos_Anos,Si,0
42,63.31,2478.13,No,Un_Ano,No,0
48,97.72,4708.23,Si,Mes_a_Mes,Si,1
22,55.52,1309.14,Sin_Internet,Mes_a_Mes,Si,1
68,97.01,5969.51,Si,Un_Ano,Si,0
50,116.69,6244.37,No,Mes_a_Mes,Si,0
63,86.78,5669.6,Si,Mes_a_Mes,Si,1
48,47.7,2392.94,Si,Mes_a_Mes,No,0
66,90.56,6446.31,No,Dos_Anos,Si,0
55,105.24,6301.87,No,Mes_a_Mes,Si,0
36,63.35,2187.16,No,Un_Ano,Si,0
29,84.09,2643.03,Sin_Internet,Mes_a_Mes,Si,0
47,48.99,2172.0,No,Dos_Anos,Si,0
50,68.18,3166.53,Si,Mes_a_Mes,Si,0
9,40.75,370.77,Si,Dos_Anos,Si,0
62,104.38,7025.08,No,Un_Ano,Si,0
5,34.19,155.71,No,Un_Ano,No,0
7,30.3,213.29,Si,Dos_Anos,Si,0
44,75.77,3452.9,No,Un_Ano,Si,0
37,80.34,3118.49,Si,Mes_a_Mes,No,0
3,112.24,336.98,Si,Un_Ano,No,1
15,44.31,674.61,Si,Mes_a_Mes,No,0
3,98.91,293.98,Si,Un_Ano,Si,0
14,86.19,1260.54,Si,Mes_a_Mes,Si,1
4,95.46,372.62,No,Mes_a_Mes,No,0
35,39.96,1337.17,No,Mes_a_Mes,No,0
8,67.41,513.69,Sin_Internet,Mes_a_Mes,Si,1
35,58.83,2122.22,Si,Mes_a_Mes,Si,0
68,91.46,6747.41,No,Mes_a_Mes,Si,0
36,81.39,2797.39,Sin_Internet,Mes_a_Mes,Si,0
44,116.92,4887.08,Sin_Internet,Un_Ano,Si,0
64,38.18,2548.91,Si,Mes_a_Mes,Si,0
67,69.99,4228.97,No,Dos_Anos,Si,0
20,90.92,1939.95,No,Mes_a_Mes,Si,1
57,60.03,3339.1,Si,Mes_a_Mes,No,1
55,112.7,6696.46,No,Mes_a_Mes,No,1
14,105.99,1545.75,Sin_Internet,Un_Ano,Si,0
1,107.93,114.25,Si,Mes_a_Mes,Si,1
57,82.86,4412.43,No,Un_Ano,Si,1
14,69.81,950.79,Si,Un_Ano,No,0
51,59.95,2923.27,Si,Mes_a_Mes,Si,1
58,36.37,2200.21,No,Mes_a_Mes,Si,0
9,115.08,936.86,No,Un_Ano,Si,0
48,50.04,2459.2,Sin_Internet,Dos_Anos,Si,0
27,101.2,2933.56,Si,Mes_a_Mes,Si,0
28,26.13,664.87,No,Un_Ano,No,0
56,61.24,3285.88,No,Mes_a_Mes,Si,1
34,79.26,2537.43,No,Dos_Anos,No,0
2,54.87,120.67,Si,Un_Ano,Si,1
24,43.42,1143.29,Sin_Internet,Un_Ano,Si,0
49,31.79,1440.67,No,Mes_a_Mes,No,0
40,118.97,4468.29,No,Mes_a_Mes,No,1
8,109.21,790.32,No,Mes_a_Mes,Si,1
