id_cliente,edad,ingresos_mensuales,gastos_mensuales,score_digital,llamadas_soporte,antiguedad_meses,segmento
CLI-00001,56,8462841.15,6475912.06,44,2,90,2
CLI-00002,69,5778944.95,3008044.69,15,1,10,1
CLI-00003,46,3828793.36,2755619.34,21,5,17,1
CLI-00004,32,5492628.09,4134512.39,47,3,117,1
CLI-00005,60,5348242.55,4219164.81,86,1,78,1
CLI-00006,25,1400000.0,839269.44,28,3,2,2
CLI-00007,38,4264992.91,1759111.2,76,0,112,1
CLI-00008,56,6191248.21,2726749.49,17,3,77,1
CLI-00009,36,4566725.76,2112713.79,17,1,27,1
CLI-00010,40,4078339.4,2555452.25,93,1,73,2
CLI-00011,28,7505027.63,2386938.71,56,2,71,2
CLI-00012,28,3483599.19,2263724.12,13,1,48,2
CLI-00013,41,7065569.83,3535574.62,60,2,74,1
CLI-00014,53,2567962.16,1187382.03,94,1,118,2
CLI-00015,57,11573676.26,9070557.6,76,4,9,2
CLI-00016,41,5025491.84,2779103.61,54,0,86,1
CLI-00017,20,4788816.36,1687000.28,17,2,23,1
CLI-00018,39,8014744.99,6048813.98,96,5,71,2
CLI-00019,19,4578849.35,1493632.98,25,0,112,2
CLI-00020,41,8700841.18,6088083.62,86,1,73,2
CLI-00021,61,6317506.43,4584288.57,76,3,27,1
CLI-00022,47,5239524.62,2587965.91,18,2,88,1
CLI-00023,55,5004987.01,3771924.98,69,4,93,1
CLI-00024,19,8156702.77,4760355.11,87,3,81,2
CLI-00025,38,6007071.87,3332792.61,86,3,84,1
CLI-00026,50,6451079.21,2096418.85,80,4,71,2
CLI-00027,29,6690204.12,3074256.21,24,1,43,1
CLI-00028,39,5792459.61,4703798.59,80,2,104,1
CLI-00029,61,6643718.9,3424858.22,50,2,7,1
CLI-00030,42,5239688.47,3147403.77,31,2,92,2
CLI-00031,66,5390421.01,3194427.76,33,3,83,1
CLI-00032,44,3037947.16,1897918.3,53,3,63,1
CLI-00033,59,6155072.55,2054144.83,10,5,84,2
CLI-00034,45,1717009.79,857126.03,19,0,44,2
CLI-00035,33,6123827.76,4272720.48,89,1,39,1
CLI-00036,32,4882644.76,2003388.88,81,2,40,1
CLI-00037,64,6324087.24,2605322.25,65,2,7,1
CLI-00038,68,3192577.67,975491.58,98,1,70,2
CLI-00039,61,1400000.0,756861.08,59,2,25,0
CLI-00040,69,4728096.32,3713938.14,21,1,105,1
CLI-00041,20,3198992.13,1051014.53,98,4,59,2
CLI-00042,54,1582775.3,641206.48,90,1,13,2
CLI-00043,68,7189563.19,3383023.77,69,1,103,1
CLI-00044,24,9022724.1,6337999.96,35,3,104,2
CLI-00045,38,3746706.84,2444162.62,87,2,86,2
CLI-00046,26,5333304.18,2820086.7,50,3,113,1
CLI-00047,56,4822871.64,3460352.12,45,2,81,1
CLI-00048,35,4050423.47,2573222.11,32,1,112,2
CLI-00049,21,6960221.87,5518220.08,52,5,86,1
CLI-00050,42,7722311.21,5791074.79,15,3,98,2
CLI-00051,31,3589064.18,1575769.6,78,4,62,1
CLI-00052,67,5598487.11,2515351.09,52,4,8,1
CLI-00053,26,8325972.67,3071834.83,34,4,113,2
CLI-00054,43,7015879.65,3405021.07,27,1,45,1
CLI-00055,19,7342934.36,6239652.27,71,3,18,1
CLI-00056,37,8509567.68,4451892.17,22,4,88,2
CLI-00057,45,8480659.38,3572635.84,52,2,60,2
CLI-00058,64,7763013.79,5584444.97,87,5,118,2
CLI-00059,24,5818862.31,3481768.93,37,3,60,2
CLI-00060,61,4658537.36,1780869.38,27,4,106,2
CLI-00061,25,5727651.08,2917547.04,68,2,2,1
CLI-00062,64,4324305.29,2283053.06,69,1,66,1
CLI-00063,52,1400000.0,1000448.87,72,3,91,1
CLI-00064,31,4885102.06,1521070.58,66,1,14,1
CLI-00065,34,6286557.74,2816131.47,60,2,48,1
CLI-00066,53,4208007.28,2460329.14,65,1,103,1
CLI-00067,67,5075884.47,2273314.59,36,2,117,1
CLI-00068,57,5161119.22,3332218.44,41,0,117,1
CLI-00069,21,8485084.9,4794303.03,18,3,56,2
CLI-00070,19,4709238.0,2349630.22,93,2,12,2
CLI-00071,23,8484593.44,6974885.14,77,5,96,2
CLI-00072,59,1400000.0,906762.81,55,1,92,0
CLI-00073,21,8465282.72,3144579.57,76,2,55,2
CLI-00074,46,8354293.45,5079831.75,35,3,28,2
CLI-00075,35,7484960.28,5459548.88,17,6,110,1
CLI-00076,43,1400000.0,965537.07,15,4,89,0
CLI-00077,61,7741551.39,3055196.1,89,1,4,2
CLI-00078,51,5389737.81,4499520.2,33,2,90,1
CLI-00079,27,1400000.0,765586.51,57,1,36,1
CLI-00080,53,8355990.96,3237643.61,54,3,50,2
CLI-00081,31,8677180.77,3463129.35,22,3,3,2
CLI-00082,48,1400000.0,495640.94,78,2,1,1
CLI-00083,65,5885926.37,4366974.54,34,4,17,1
CLI-00084,32,8554900.47,3140647.44,29,3,71,2
CLI-00085,25,8206354.89,3026658.71,91,2,62,2
CLI-00086,31,7339334.31,5634842.82,91,3,48,1
CLI-00087,40,1400000.0,685345.15,75,4,62,2
CLI-00088,57,7104994.09,2252083.1,83,3,69,1
CLI-00089,38,5020171.42,1649339.24,54,1,19,1
CLI-00090,33,7690886.56,2908645.2,56,1,103,2
CLI-00091,62,6063555.21,2530723.85,72,2,110,1
CLI-00092,35,5456260.46,3632944.12,85,2,34,1
CLI-00093,64,6909988.47,2670914.07,86,1,99,2
CLI-00094,41,5121790.58,1871404.53,64,5,49,1
CLI-00095,43,5446589.98,3924788.38,84,3,80,2
CLI-00096,42,4278507.2,2862665.33,28,5,104,1
CLI-00097,62,1968100.22,1061649.0,44,5,114,0
CLI-00098,58,6749277.64,4063877.58,62,2,47,1
CLI-00099,46,3726733.3,1757494.67,35,4,103,1
CLI-00100,32,5058257.89,2859813.72,23,4,91,1
CLI-00101,62,6131342.71,3548023.82,54,3,105,1
