temperatura_c,presion_bar,flujo_l_min,rpm_motor,concentracion_reactivo,eficiencia_proceso
108.82,4.04,47.3,2023.8,0.304,61.59
176.95,7.13,62.36,3255.2,0.129,20.87
56.47,5.72,53.81,2884.0,0.924,70.51
73.48,11.36,43.64,3038.8,0.406,77.32
134.18,7.88,26.76,1954.9,0.861,23.6
67.73,3.16,33.23,1746.6,0.924,77.75
126.62,6.77,62.55,2176.2,0.869,34.24
123.81,10.56,26.81,1258.1,0.459,36.2
176.23,8.55,56.63,3405.0,0.751,20.0
164.84,10.35,54.23,2128.8,0.188,27.54
172.92,4.13,82.78,3572.5,0.135,28.68
64.77,10.83,14.56,3027.5,0.839,69.9
162.86,9.43,18.11,1393.2,0.078,20.0
66.78,9.15,47.96,2784.5,0.925,67.52
132.28,5.14,49.53,1850.0,0.655,41.1
143.61,10.82,12.99,1784.9,0.428,26.09
70.91,8.2,71.94,1815.8,0.177,65.82
132.25,10.44,47.1,3398.6,0.701,32.31
56.82,5.29,36.0,2400.0,0.557,79.82
88.12,3.03,33.91,2806.7,0.69,77.67
169.75,4.99,74.61,1874.3,0.426,32.27
72.33,6.28,24.75,2455.1,0.11,62.25
58.49,7.1,22.03,2040.2,0.333,67.2
107.68,6.86,25.99,1970.7,0.334,43.42
160.58,7.23,56.88,1792.7,0.058,20.0
59.97,10.34,70.82,2181.6,0.059,75.36
96.22,3.29,34.82,2784.1,0.348,69.81
166.97,4.82,23.01,1732.9,0.705,23.98
65.36,10.83,25.69,3517.1,0.612,70.6
90.39,7.38,56.44,1499.1,0.265,56.17
151.19,7.63,28.45,2352.5,0.592,20.0
120.62,6.52,75.8,1404.1,0.633,43.65
158.2,7.26,17.79,1254.4,0.52,20.0
64.51,3.58,12.43,3414.4,0.519,76.71
169.67,7.24,16.63,3144.9,0.383,20.0
171.54,11.97,73.42,2866.0,0.161,36.07
70.19,7.44,58.84,3276.5,0.397,68.34
54.4,1.97,81.83,3126.8,0.361,94.49
178.68,9.86,35.22,2753.4,0.583,24.95
112.69,5.66,25.95,3233.6,0.821,41.03
124.37,3.11,52.15,2137.9,0.388,57.84
130.07,10.56,50.34,2526.6,0.689,42.77
152.66,3.58,54.33,3063.1,0.781,38.28
155.56,11.17,36.07,1403.5,0.241,23.62
75.21,6.14,10.44,3260.7,0.861,52.45
80.76,9.3,12.63,1576.4,0.113,53.39
163.99,7.24,59.79,3274.9,0.862,20.0
156.54,4.19,49.24,1947.2,0.197,28.29
130.29,8.55,71.58,1984.3,0.353,38.17
179.31,11.56,32.53,1377.5,0.595,29.47
145.57,9.58,71.16,3326.2,0.865,24.7
78.06,7.84,41.91,1618.8,0.28,62.24
160.06,11.9,17.25,2712.1,0.737,29.05
103.92,4.29,83.34,2745.5,0.689,68.79
54.7,2.15,48.4,1874.8,0.194,89.57
91.78,1.84,57.21,3565.6,0.482,81.68
149.26,8.96,60.31,1354.0,0.483,20.0
174.83,10.22,37.18,2658.9,0.324,24.17
85.9,8.17,66.06,2350.9,0.752,65.92
82.05,11.0,75.27,1789.2,0.883,74.16
123.27,8.83,39.04,1592.5,0.695,37.02
155.52,5.4,59.28,2969.0,0.926,26.37
147.05,3.4,66.78,3399.2,0.095,39.15
122.79,11.21,24.26,1458.1,0.084,37.48
132.08,2.59,34.94,1665.6,0.854,45.3
81.47,7.2,18.16,3567.0,0.858,47.83
106.23,4.8,55.17,1236.1,0.146,47.51
83.2,4.35,70.07,2419.8,0.372,77.16
164.97,8.28,55.81,2438.7,0.802,24.01
64.63,3.93,23.48,1831.6,0.166,74.72
138.37,11.12,50.98,2791.3,0.291,40.8
83.84,5.76,72.62,3467.9,0.663,63.76
111.83,8.61,32.7,2280.5,0.934,37.22
88.92,9.14,72.45,2998.6,0.767,67.3
92.02,8.67,68.85,2750.6,0.75,62.5
83.85,10.99,11.63,2335.1,0.358,67.21
147.86,3.93,27.96,1319.5,0.645,28.07
