id_sensor,temperatura_c,vibracion_hz,presion_psi,velocidad_rpm,desgaste_porcentaje,falla_inminente
SNS-00001,77.96,46.88,107.01,2552.8,6.75,0
SNS-00002,70.34,38.56,123.18,2584.3,5.0,0
SNS-00003,79.77,46.83,110.16,3414.9,9.23,0
SNS-00004,90.28,53.15,115.11,2800.2,9.56,0
SNS-00005,69.19,45.73,150.12,3034.6,11.86,0
SNS-00006,69.19,45.61,144.13,2562.7,5.0,0
SNS-00007,90.95,34.47,96.61,2566.0,5.0,0
SNS-00008,81.21,35.06,134.94,3124.6,13.88,0
SNS-00009,66.37,23.96,134.61,2395.1,10.79,0
SNS-00010,78.51,71.24,99.33,2675.4,14.06,0
SNS-00011,66.44,26.34,134.74,2810.2,9.14,0
SNS-00012,66.41,34.61,147.68,2833.4,5.0,0
SNS-00013,74.9,34.22,99.79,2746.3,5.0,0
SNS-00014,49.04,58.42,103.48,2918.7,6.53,0
SNS-00015,51.3,40.58,138.32,3007.9,10.68,0
SNS-00016,65.25,63.72,124.89,3020.4,14.81,0
SNS-00017,59.85,34.9,129.93,2504.3,9.3,0
SNS-00018,75.77,49.18,126.13,2714.8,5.51,0
SNS-00019,61.1,32.47,127.03,3158.4,10.64,0
SNS-00020,55.05,77.18,96.12,3068.4,19.6,1
SNS-00021,89.59,27.19,138.85,2388.1,9.84,0
SNS-00022,69.29,49.65,141.05,2905.4,10.68,0
SNS-00023,72.81,54.51,115.87,2206.5,5.91,0
SNS-00024,54.9,51.21,119.22,2814.1,7.55,0
SNS-00025,65.47,42.22,92.44,3369.3,7.55,0
SNS-00026,73.33,43.05,129.26,2515.6,7.49,0
SNS-00027,58.19,45.66,130.3,2549.7,6.84,0
SNS-00028,76.51,42.79,118.88,3029.2,11.1,0
SNS-00029,64.79,59.46,140.24,2337.2,16.59,1
SNS-00030,68.5,78.16,113.99,2610.2,17.46,1
SNS-00031,64.78,36.64,130.16,2978.9,10.33,0
SNS-00032,94.23,24.45,101.65,2609.7,5.0,0
SNS-00033,71.84,43.68,119.58,2729.2,7.72,0
SNS-00034,59.31,83.7,116.86,3023.3,30.5,1
SNS-00035,81.87,32.94,124.06,2926.5,5.0,0
SNS-00036,57.35,69.59,113.35,2880.0,16.34,1
SNS-00037,74.51,70.17,117.63,2698.3,15.36,1
SNS-00038,48.48,36.7,134.87,2911.0,5.29,0
SNS-00039,56.06,53.53,112.14,2762.9,11.75,0
SNS-00040,74.36,69.43,91.08,2937.3,11.75,0
SNS-00041,80.86,39.31,151.49,2650.9,8.0,0
