tenure,monthly_charges,total_charges,contract,support_calls,churn
13,32.5,434.07,One year,3,0
41,97.61,4002.21,Month-to-month,4,1
37,96.4,3559.71,Two year,0,0
27,70.27,1880.72,One year,1,0
31,67.99,2116.63,Two year,3,1
2,117.19,239.25,Two year,1,1
70,86.79,6077.29,Month-to-month,0,1
9,19.88,183.75,One year,5,1
65,95.21,6179.65,Two year,2,0
20,46.25,920.6,Month-to-month,3,0
20,72.14,1431.83,Two year,3,0
9,49.52,422.8,Month-to-month,3,1
12,110.96,1341.79,Month-to-month,3,1
23,30.44,696.05,Month-to-month,0,0
45,70.8,3189.29,Month-to-month,0,0
35,91.79,3228.47,One year,4,0
35,70.89,2478.94,Two year,6,1
59,69.58,4123.84,Month-to-month,3,1
33,95.83,3174.18,Month-to-month,0,1
66,18.76,1239.15,Month-to-month,1,0
50,110.52,5536.97,Month-to-month,5,1
54,40.95,2211.54,One year,5,1
10,75.65,767.44,Month-to-month,3,1
67,116.64,7818.5,One year,1,0
40,51.23,2048.0,Month-to-month,2,1
39,92.46,3606.39,One year,3,0
26,91.75,2368.43,Month-to-month,1,1
53,20.89,1093.44,Two year,1,0
43,18.65,791.25,Two year,0,0
27,71.48,1930.82,Month-to-month,3,0
19,89.67,1722.53,Two year,3,1
48,64.35,3088.63,Two year,0,0
51,25.98,1315.25,Month-to-month,1,0
34,103.59,3530.99,Two year,1,0
58,45.7,2656.6,Two year,2,0
14,34.94,479.18,Two year,2,0
27,63.69,1700.58,Month-to-month,2,1
39,101.14,3943.52,One year,1,1
32,115.34,3688.36,One year,2,1
23,21.61,487.98,Two year,3,0
13,64.7,842.92,Month-to-month,1,1
29,31.57,919.84,Two year,0,0
11,76.73,843.02,Month-to-month,4,0
26,108.75,2822.58,One year,2,1
60,23.56,1423.07,Two year,1,0
4,56.77,218.71,Month-to-month,2,1
58,106.84,6210.29,Month-to-month,2,0
64,59.7,3817.43,One year,1,0
54,38.45,2085.45,Two year,0,0
70,97.98,6876.01,One year,1,0
63,52.9,3324.63,One year,1,0
41,78.21,3224.55,One year,2,1
61,71.44,4362.02,Month-to-month,0,1
31,45.15,1408.68,Month-to-month,0,0
29,76.07,2215.89,Month-to-month,1,1
41,99.12,4056.76,Month-to-month,0,0
