CustomerID,Gender,Age,Annual_Income_k,Spending_Score
1,Male,41,20,18
2,Female,69,29,24
3,Female,28,38,76
4,Female,66,25,25
5,Male,25,64,62
6,Male,53,101,86
7,Male,55,75,19
8,Female,57,93,25
9,Female,37,73,86
10,Female,52,22,69
11,Male,65,15,27
12,Female,42,106,11
13,Female,52,25,66
14,Male,42,94,16
15,Male,46,27,19
16,Male,35,71,35
17,Male,63,48,53
18,Female,35,32,81
19,Male,19,62,41
20,Male,52,80,8
21,Female,33,30,49
22,Male,58,28,79
23,Male,53,71,1
24,Male,50,26,14
25,Female,21,51,51
26,Female,50,108,85
27,Male,31,97,85
28,Female,38,83,91
29,Female,65,31,78
30,Male,37,15,20
31,Female,25,57,48
32,Male,24,68,42
33,Male,20,69,42
34,Female,34,21,64
35,Female,50,34,64
36,Female,65,95,21
37,Male,29,74,23
38,Male,68,46,49
39,Female,39,68,47
40,Female,39,64,86
41,Male,63,30,12
42,Female,47,22,16
43,Male,55,34,74
44,Female,55,76,80
45,Male,62,28,71
46,Female,68,47,42
47,Male,25,51,36
48,Female,44,21,8
49,Female,44,48,46
50,Male,51,24,24
51,Female,38,56,58
52,Female,47,33,16
53,Female,50,48,61
54,Female,45,78,82
55,Female,64,26,16
56,Female,50,58,51
57,Male,22,64,56
58,Male,65,47,44
59,Male,36,20,74
60,Male,21,45,79
61,Male,52,98,77
62,Male,66,80,99
63,Female,34,60,59
64,Male,61,90,23
65,Male,45,106,92
66,Female,47,57,46
67,Male,46,63,49
68,Female,63,37,81
69,Male,23,102,16
70,Female,52,69,26
71,Female,58,15,87
72,Male,54,78,41
73,Male,41,45,54
74,Female,46,99,16
75,Female,66,55,52
76,Female,63,22,88
77,Female,48,26,76
78,Male,52,62,47
79,Male,50,17,11
80,Male,69,36,18
81,Female,38,51,41
82,Female,49,26,20
83,Male,40,54,50
84,Male,50,109,19
85,Male,20,30,23
86,Male,35,73,6
87,Female,42,20,24
88,Female,59,39,51
89,Female,48,15,76
90,Female,20,118,13
91,Male,57,113,27
92,Female,63,39,40
93,Female,41,70,86
94,Female,67,59,48
95,Female,49,21,11
96,Female,64,62,51
97,Female,39,24,23
98,Male,40,94,23
99,Male,19,67,49
100,Male,44,29,73
101,Male,59,64,56
102,Female,19,29,20
103,Male,43,15,89
104,Female,34,74,65
105,Female,57,22,82
106,Male,50,39,15
107,Male,26,81,28
108,Female,60,95,80
109,Male,65,94,22
110,Male,56,82,21
111,Male,46,30,81
112,Male,59,36,86
113,Female,43,60,52
114,Female,52,31,62
115,Female,67,42,37
116,Female,42,32,61
117,Female,41,31,88
118,Male,30,24,27
119,Female,24,97,25
120,Female,53,83,15
121,Female,62,107,17
122,Female,37,15,24
123,Male,18,55,70
124,Male,25,29,46
125,Male,63,88,17
126,Male,33,62,62
127,Female,31,85,84
128,Female,29,15,75
129,Male,68,52,46
130,Female,40,77,19
131,Male,32,101,87
132,Male,45,48,46
133,Male,51,23,87
134,Male,19,29,69
135,Female,49,47,55
136,Male,40,77,19
137,Female,39,39,27
138,Female,68,81,82
139,Male,42,92,69
140,Female,39,20,26
141,Female,39,26,68
142,Male,66,114,68
143,Female,69,70,83
144,Male,59,20,67
145,Male,23,49,59
146,Male,32,40,61
147,Female,60,67,87
148,Female,54,117,31
149,Male,50,70,49
150,Male,25,21,18
151,Female,61,94,15
152,Male,61,67,32
153,Male,22,26,68
154,Female,56,63,34
155,Female,21,107,85
156,Male,23,88,18
157,Female,62,84,10
158,Female,49,27,74
159,Male,69,91,24
160,Female,47,90,23
161,Male,64,23,88
162,Female,52,22,27
163,Female,57,99,15
164,Female,69,26,72
165,Male,33,70,81
166,Female,30,72,50
167,Male,67,71,14
168,Male,59,75,16
169,Male,47,100,91
170,Female,36,103,83
171,Female,34,53,44
172,Male,36,49,52
173,Female,45,19,13
174,Male,43,96,8
175,Female,54,66,52
176,Male,43,50,61
177,Female,40,26,78
178,Male,26,23,28
179,Female,29,95,94
180,Male,18,93,81
181,Male,18,15,19
182,Male,64,57,47
183,Female,51,81,99
184,Female,49,19,65
185,Male,65,76,34
186,Female,42,23,15
187,Female,57,90,31
188,Female,62,32,24
189,Female,18,88,18
190,Male,33,103,90
191,Male,56,23,20
192,Female,22,35,47
193,Female,39,20,24
194,Female,46,33,17
195,Male,20,87,13
196,Male,29,68,60
197,Female,43,46,71
198,Female,33,56,92
199,Female,68,68,52
200,Female,54,67,56
