id_cliente,nombre,segmento,edad,ciudad_residencia,ingreso_anual
CLI-00001,Cliente_1,Pequeña Empresa,67,Medellín,42818263.9
CLI-00002,Cliente_2,Gobierno,21,Bucaramanga,21347771.95
CLI-00003,Cliente_3,Consumidor Final,25,Tunja,32582101.59
CLI-00004,Cliente_4,Pequeña Empresa,47,Medellín,34921744.22
CLI-00005,Cliente_5,Corporativo,48,Cali,42185532.67
CLI-00006,Cliente_6,Corporativo,45,Bogotá,43020085.86
CLI-00007,Cliente_7,Corporativo,44,Duitama,26189914.41
CLI-00008,Cliente_8,Consumidor Final,31,Tunja,35983946.68
CLI-00009,Cliente_9,Consumidor Final,24,Bogotá,40487364.86
CLI-00010,Cliente_10,Consumidor Final,53,Medellín,52469867.87
CLI-00011,Cliente_11,Corporativo,67,Bucaramanga,43454078.48
CLI-00012,Cliente_12,Gobierno,56,Sogamoso,44468680.25
CLI-00013,Cliente_13,Consumidor Final,34,Bucaramanga,36005919.54
CLI-00014,Cliente_14,Corporativo,63,Cali,51925509.74
CLI-00015,Cliente_15,Corporativo,55,Bucaramanga,39917153.55
CLI-00016,Cliente_16,Corporativo,34,Tunja,24666945.08
CLI-00017,Cliente_17,Pequeña Empresa,62,Bucaramanga,51840439.64
CLI-00018,Cliente_18,Pequeña Empresa,67,Cali,43374839.27
CLI-00019,Cliente_19,Pequeña Empresa,42,Duitama,29683471.75
CLI-00020,Cliente_20,Pequeña Empresa,25,Medellín,29246084.39
CLI-00021,Cliente_21,Consumidor Final,65,Sogamoso,38558906.54
CLI-00022,Cliente_22,Corporativo,69,Medellín,40558217.54
CLI-00023,Cliente_23,Pequeña Empresa,63,Bucaramanga,37367507.19
CLI-00024,Cliente_24,Pequeña Empresa,62,Bogotá,38735704.08
CLI-00025,Cliente_25,Pequeña Empresa,64,Medellín,55399488.49
CLI-00026,Cliente_26,Consumidor Final,40,Duitama,47858517.83
CLI-00027,Cliente_27,Corporativo,42,Bucaramanga,37287627.1
CLI-00028,Cliente_28,Pequeña Empresa,62,Sogamoso,46295726.97
CLI-00029,Cliente_29,Pequeña Empresa,35,Cali,22609713.16
CLI-00030,Cliente_30,Corporativo,66,Duitama,39775124.6
CLI-00031,Cliente_31,Consumidor Final,34,Bucaramanga,56711676.2
CLI-00032,Cliente_32,Corporativo,44,Duitama,32383449.26
CLI-00033,Cliente_33,Corporativo,55,Medellín,24828392.86
CLI-00034,Cliente_34,Gobierno,30,Sogamoso,27174933.34
CLI-00035,Cliente_35,Gobierno,34,Cali,21924403.55
CLI-00036,Cliente_36,Consumidor Final,23,Bucaramanga,25582857.1
CLI-00037,Cliente_37,Pequeña Empresa,40,Tunja,30553902.82
CLI-00038,Cliente_38,Corporativo,32,Cali,18133195.77
CLI-00039,Cliente_39,Consumidor Final,41,Tunja,35187420.01
CLI-00040,Cliente_40,Pequeña Empresa,38,Duitama,45827326.09
CLI-00041,Cliente_41,Corporativo,53,Bogotá,24106925.84
CLI-00042,Cliente_42,Pequeña Empresa,33,Cali,53231407.08
CLI-00043,Cliente_43,Corporativo,23,Duitama,41129505.06
CLI-00044,Cliente_44,Gobierno,67,Tunja,47366967.03
CLI-00045,Cliente_45,Pequeña Empresa,65,Medellín,27105985.35
CLI-00046,Cliente_46,Consumidor Final,46,Medellín,45254302.72
CLI-00047,Cliente_47,Pequeña Empresa,48,Bogotá,21896793.2
CLI-00048,Cliente_48,Pequeña Empresa,66,Cali,45682970.01
CLI-00049,Cliente_49,Pequeña Empresa,47,Cali,37062072.08
CLI-00050,Cliente_50,Corporativo,54,Cali,41639014.64
CLI-00051,Cliente_51,Gobierno,27,Duitama,20892864.73
CLI-00052,Cliente_52,Consumidor Final,35,Sogamoso,24259161.89
CLI-00053,Cliente_53,Gobierno,61,Sogamoso,42166738.62
CLI-00054,Cliente_54,Consumidor Final,55,Bogotá,23619823.95
CLI-00055,Cliente_55,Pequeña Empresa,49,Cali,40558475.51
CLI-00056,Cliente_56,Gobierno,37,Duitama,18594346.32
CLI-00057,Cliente_57,Corporativo,21,Medellín,45178090.55
CLI-00058,Cliente_58,Corporativo,68,Tunja,20209720.22
CLI-00059,Cliente_59,Corporativo,32,Duitama,41627599.25
CLI-00060,Cliente_60,Pequeña Empresa,23,Sogamoso,42507571.2
CLI-00061,Cliente_61,Pequeña Empresa,45,Sogamoso,26638738.18
CLI-00062,Cliente_62,Pequeña Empresa,44,Medellín,41984318.81
