id_venta,fecha,id_cliente,categoria,producto,cantidad,precio_unitario,descuento,ciudad_venta,total_venta
VNT-0000001,2025-11-17 12:00:00,CLI-00842,Hardware,Servidor Rack 2U,13,13340229.47,0.0,Bogotá,173422983.11
VNT-0000002,2023-05-20 16:00:00,CLI-00431,Tecnología,Monitor 4K,15,1888464.24,0.0,Duitama,28326963.6
VNT-0000003,2023-07-30 19:00:00,CLI-00623,Muebles,Archivador Metálico,17,423401.29,0.2,Bucaramanga,5758257.54
VNT-0000004,2025-08-31 16:00:00,CLI-00707,Servicios Cloud,Instancia VM vCPU4,6,442846.94,0.0,Tunja,2657081.64
VNT-0000005,2024-08-03 08:00:00,CLI-01017,Muebles,Silla Ergonómica,14,814765.94,0.0,Tunja,11406723.16
VNT-0000006,2023-09-06 00:00:00,CLI-00899,Papelería,Resma Papel Bond,8,23183.86,0.15,Duitama,157650.25
VNT-0000007,2023-10-19 16:00:00,CLI-00301,Muebles,Silla Ergonómica,15,798192.78,0.1,Bogotá,10775602.53
VNT-0000008,2025-11-20 00:00:00,CLI-01283,Servicios Cloud,Almacenamiento S3 1TB,3,160392.81,0.15,Bucaramanga,409001.67
VNT-0000009,2024-06-11 02:00:00,CLI-01398,Tecnología,Mouse Inalámbrico,3,119448.36,0.15,Bogotá,304593.32
VNT-0000010,2023-11-01 13:00:00,CLI-01124,Tecnología,Mouse Inalámbrico,15,112232.69,0.05,Duitama,1599315.83
VNT-0000011,2025-05-11 01:00:00,CLI-00977,Tecnología,Monitor 4K,15,1661338.97,0.0,Medellín,24920084.55
VNT-0000012,2025-04-04 20:00:00,CLI-00843,Muebles,Silla Ergonómica,14,912117.66,0.1,Cali,11492682.52
VNT-0000013,2023-05-22 10:00:00,CLI-01020,Tecnología,Monitor 4K,16,1702260.47,0.0,Bogotá,27236167.52
VNT-0000014,2024-08-19 16:00:00,CLI-00729,Muebles,Escritorio Elevable,12,1675991.25,0.15,Sogamoso,17095110.75
VNT-0000015,2024-04-18 11:00:00,CLI-01171,Muebles,Escritorio Elevable,12,1655014.97,0.05,Tunja,18867170.66
VNT-0000016,2025-03-19 00:00:00,CLI-00045,Tecnología,Teclado Mecánico,11,275038.73,0.15,Medellín,2571612.13
VNT-0000017,2025-01-28 00:00:00,CLI-00867,Papelería,Resma Papel Bond,7,23435.06,0.05,Bogotá,155843.15
VNT-0000018,2024-09-08 21:00:00,CLI-00273,Hardware,Servidor Rack 2U,6,14162676.23,0.0,Cali,84976057.38
VNT-0000019,2023-11-02 14:00:00,CLI-00933,Tecnología,Laptop Pro,16,4209106.95,0.0,Medellín,67345711.2
VNT-0000020,2024-09-12 19:00:00,CLI-00982,Papelería,Resma Papel Bond,16,21007.53,0.15,Sogamoso,285702.41
VNT-0000021,2024-08-22 14:00:00,CLI-00344,Servicios Cloud,Almacenamiento S3 1TB,13,154790.39,0.1,Bucaramanga,1811047.56
VNT-0000022,2025-08-12 02:00:00,CLI-01391,Muebles,Escritorio Elevable,2,1562090.23,0.05,Sogamoso,2967971.44
VNT-0000023,2025-08-28 09:00:00,CLI-01116,Servicios Cloud,Base de Datos RDS,19,948223.23,0.1,Tunja,16214617.23
VNT-0000024,2024-08-07 10:00:00,CLI-00981,Muebles,Silla Ergonómica,16,865372.28,0.2,Bogotá,11076765.18
VNT-0000025,2025-09-21 19:00:00,CLI-00595,Papelería,Cuaderno Cuadriculado,12,19070.79,0.05,Sogamoso,217407.01
VNT-0000026,2024-08-14 23:00:00,CLI-00736,Tecnología,Mouse Inalámbrico,2,122260.45,0.0,Tunja,244520.9
VNT-0000027,2024-07-20 02:00:00,CLI-00061,Servicios Cloud,Base de Datos RDS,12,903136.65,0.0,Cali,10837639.8
VNT-0000028,2024-04-13 21:00:00,CLI-00787,Servicios Cloud,Base de Datos RDS,4,859295.57,0.15,Duitama,2921604.94
VNT-0000029,2023-11-26 06:00:00,CLI-01260,Tecnología,Mouse Inalámbrico,7,114786.82,0.0,Bucaramanga,803507.74
VNT-0000030,2024-01-05 02:00:00,CLI-00801,Muebles,Archivador Metálico,15,389023.88,0.15,Bogotá,4960054.47
VNT-0000031,2025-08-08 01:00:00,CLI-00978,Hardware,Switch Gigabit 24p,10,1122547.45,0.0,Medellín,11225474.5
VNT-0000032,2023-03-20 22:00:00,CLI-00351,Muebles,Archivador Metálico,14,441089.17,0.0,Sogamoso,6175248.38
VNT-0000033,2025-09-02 01:00:00,CLI-01067,Papelería,Marcadores Pro,15,36385.23,0.1,Sogamoso,491200.61
VNT-0000034,2025-08-20 04:00:00,CLI-01116,Hardware,Switch Gigabit 24p,13,1113738.29,0.0,Duitama,14478597.77
VNT-0000035,2024-12-26 21:00:00,CLI-00820,Servicios Cloud,Base de Datos RDS,3,852539.68,0.0,Duitama,2557619.04
VNT-0000036,2024-01-25 12:00:00,CLI-00251,Papelería,Resma Papel Bond,6,22897.72,0.0,Bogotá,137386.32
VNT-0000037,2024-09-24 22:00:00,CLI-00824,Servicios Cloud,Almacenamiento S3 1TB,19,139782.06,0.05,Medellín,2523066.18
VNT-0000038,2025-09-28 18:00:00,CLI-01043,Hardware,Servidor Rack 2U,5,13521491.7,0.05,Tunja,64227085.58
VNT-0000039,2025-09-20 12:00:00,CLI-00315,Muebles,Escritorio Elevable,2,1530450.34,0.0,Bogotá,3060900.68
VNT-0000040,2025-11-02 09:00:00,CLI-01203,Muebles,Escritorio Elevable,15,1668490.57,0.05,Bucaramanga,23775990.62
